日時,測定開始からの時間,電源電流,電源電圧,電源電力,回転数,モータートルク,モータ相間電圧(Vm),モータ線電流(Im),インバータ出力電力(P-Out),インバータ効率,力率進角(φ),力率,電流進角(α)
,秒,A,V,W,RPM,Nm,V,A,W,%,deg,%,deg
2025/12/5 14:18,0,0,24.1,0,17,-0.016,0.9,0.3,0,0,-5.3,100,-0.5
2025/12/5 14:18,0.1,0,24.1,0,17,-0.016,0.9,0.3,0,0,21.6,93,1.5
2025/12/5 14:18,0.2,0,24.1,0,17,-0.016,0.8,0.3,0,0,45.1,71,0.9
2025/12/5 14:18,0.3,0,24.1,0,17,-0.016,0.7,0.4,0,0,92.9,-5,0.1
2025/12/5 14:18,0.4,0,24.1,0,17,-0.016,0.6,0.6,0,0,118.7,-48,-0.1
2025/12/5 14:18,0.5,0.1,24.1,2,20,-0.016,0.5,1.1,-1,-39,-173.5,-99,-0.1
2025/12/5 14:18,0.6,0.1,24,2,20,-0.016,0.4,1.3,-1,-23,-128.1,-62,-0.8
2025/12/5 14:18,0.7,0.2,24,5,28,-0.016,0.6,2,2,32,-43.1,73,0
2025/12/5 14:18,0.8,0.4,24,10,33,-0.016,0.7,2.8,3,34,16,96,-0.1
2025/12/5 14:18,0.9,0.5,24,12,39,-0.016,0.2,3.7,1,10,16.3,96,0
2025/12/5 14:18,1,0.6,24,14,46,-0.016,0.4,4.2,2,17,-30.9,86,0.2
2025/12/5 14:18,1.1,0.7,24,17,46,-0.016,0.8,4.6,6,37,-12.3,98,0.4
2025/12/5 14:18,1.2,0.9,24,22,54,-0.016,0.5,5.3,4,21,11.6,98,0.3
2025/12/5 14:18,1.3,1,24,24,62,-0.016,0.7,5.7,7,28,-14.8,97,0.2
2025/12/5 14:18,1.4,1.3,24,31,79,-0.016,0.9,6.7,10,33,-10.1,98,0.1
2025/12/5 14:18,1.5,1.4,24,34,89,-0.016,1.1,7,13,40,2.1,100,0.1
2025/12/5 14:18,1.6,1.5,24,36,89,-0.016,0.9,7.2,11,31,0.1,100,0
2025/12/5 14:18,1.7,1.7,23.9,41,98,-0.016,1.1,7.7,15,36,3.5,100,0.3
2025/12/5 14:18,1.8,1.8,23.9,43,108,-0.016,1.3,7.9,18,41,-5.4,100,0.3
2025/12/5 14:18,1.9,2,23.9,48,127,-0.016,1.2,8.3,17,36,0,100,0.4
2025/12/5 14:18,2,2.1,23.9,50,137,-0.016,1.4,8.4,20,41,-0.8,100,0.4
2025/12/5 14:18,2.1,2.2,23.9,53,146,-0.016,1.4,8.6,21,40,2,100,0.3
2025/12/5 14:18,2.2,2.3,23.9,55,146,-0.016,1.5,8.7,23,41,-3.2,100,0.3
2025/12/5 14:18,2.3,2.3,23.9,55,157,-0.016,1.4,8.7,21,38,-3.7,100,0.3
2025/12/5 14:18,2.4,2.4,23.9,57,165,-0.016,1.6,8.8,24,43,-1.5,100,0.2
2025/12/5 14:18,2.5,2.5,23.9,60,184,-0.016,1.5,8.8,23,38,-3.3,100,0.3
2025/12/5 14:18,2.6,2.6,23.9,62,193,-0.016,1.7,8.9,26,42,0,100,0.3
2025/12/5 14:18,2.7,2.7,23.9,65,193,-0.016,1.8,9,28,43,-1.6,100,0.4
2025/12/5 14:18,2.8,2.7,23.9,65,203,-0.016,1.8,9.1,28,44,-3.1,100,0.4
2025/12/5 14:18,2.9,2.8,23.9,67,213,-0.016,1.8,9,28,42,-4.1,100,0.3
2025/12/5 14:18,3,2.8,23.9,67,231,-0.016,1.8,9.1,28,42,-3.6,100,0.3
2025/12/5 14:18,3.1,2.9,23.9,69,241,-0.016,1.9,9.1,30,43,-3.4,100,0.4
2025/12/5 14:18,3.2,3,23.9,72,241,-0.016,1.9,9.1,30,42,-3.6,100,0.4
2025/12/5 14:18,3.3,3,23.9,72,258,-0.016,2,9.1,31,44,-3.3,100,0.4
2025/12/5 14:18,3.4,3,23.9,72,258,-0.016,2.1,9.2,33,47,-2.5,100,0.4
2025/12/5 14:18,3.5,3.1,23.9,74,278,-0.016,2.1,9.2,33,45,-0.8,100,0.4
2025/12/5 14:18,3.6,3.1,23.9,74,278,-0.016,2.1,9.2,33,45,-1.6,100,0.4
2025/12/5 14:18,3.7,3.2,23.9,76,287,-0.016,2.2,9.2,35,46,-2.6,100,0.3
2025/12/5 14:18,3.8,3.3,23.9,79,306,-0.016,2.2,9.2,35,44,-1.7,100,0.3
2025/12/5 14:18,3.9,3.3,23.9,79,306,-0.016,2.3,9.2,37,46,-3.1,100,0.3
2025/12/5 14:18,4,3.3,23.9,79,325,-0.016,2.3,9.2,37,46,-1.7,100,0.3
2025/12/5 14:18,4.1,3.4,23.9,81,325,-0.016,2.4,9.2,38,47,-2.7,100,0.4
2025/12/5 14:18,4.2,3.4,23.9,81,343,-0.016,2.5,9.2,40,49,-1.3,100,0.4
2025/12/5 14:18,4.3,3.5,23.9,84,352,-0.016,2.4,9.2,38,46,-2.2,100,0.4
2025/12/5 14:18,4.4,3.5,23.9,84,352,-0.016,2.5,9.2,40,48,-1.4,100,0.4
