time[sec],vr1[v]  ボリューム1,vr2[v]  ボリューム2 ,Iq_Set[A] 電流設定値,Iq[A]　電流測定値,moter_speed[rpm]　速度現在値,Vm[V]　モータ電圧　
0,0.0018,0.0024,0.0256,0.6681,0,5.3413
0.1,1.3136,0.0012,18.2027,5.1732,17.9999,11.9234
0.2,3.7918,0.0024,52.5072,33.8021,569.9999,30.9912
0.3,4.5792,0.0048,-22.9307,0.1687,1008,17.1613
0.4,4.8582,0.0024,18.6723,-0.5811,947.9999,21.4603
0.5,4.9425,0.0012,-6.2522,1.9312,983.9999,29.9419
0.6,4.9756,0.0012,8.297,1.1461,962.9998,26.8703
0.7,4.9869,0.0012,2.0615,1.5118,971.9999,31.1042
0.8,4.9903,0.0036,4.1062,1.5677,968.9999,29.92
0.9,4.9906,0,4.1569,1.1633,968.9999,29.8123
1,4.9928,0.0012,-0.0169,1.6776,975,29.5037
1.1,4.9926,0,2.0785,2.7102,971.9999,30.7047
1.2,4.9927,0,4.1569,1.5577,968.9999,30.4647
1.3,4.9927,0.0048,-0.0676,1.5427,975,30.7184
1.4,4.9923,0,-2.0784,0.9985,977.9999,29.8824
1.5,4.992,0.0036,2.0277,2.2509,971.9999,30.5072
1.6,4.992,0,4.1569,2.3776,968.9999,30.2238
1.7,4.9916,0.0134,6.0492,1.4469,966,31.0815
1.8,4.7845,0,0,1.249,975,29.8312
1.9,2.4874,1.7704,-9.9828,0.0789,954,22.9523
2,0.8323,3.4896,-36.8204,-5.5221,542.9999,-1.9529
2.1,0.2965,3.6617,4.1095,-0.5463,-3,3.1594
2.2,0.1064,3.6752,1.4747,-0.3885,0,6.1897
2.3,0.0366,3.6776,0.5081,-0.3913,3,7.5928
2.4,0.0136,3.6495,0.1886,-0.3573,0,8.3129
2.5,0.0059,3.5665,0.0817,-0.4254,0,8.7299
2.6,0.0032,3.2344,0.0448,-0.2108,0,8.9054
2.7,0.0024,1.5689,0.0342,-0.0467,0,8.9382
2.8,0.0024,0.0024,0.0342,-0.1517,0,8.9649
2.9,0.0022,0.0012,0.0312,0.0256,0,8.8831
3,0.0016,0,0.0235,-0.0055,3,8.7952
3.1,0.0017,0.0024,0.0241,0.2335,3,8.6632
3.2,0.0016,0.0012,0.0226,0.27,3,8.5004
3.3,0.7078,0,9.8087,2.5676,14.9999,11.1382
3.4,2.8465,0.0012,39.4264,22.9241,296.9999,23.1742
3.5,4.2062,0.0012,4.14,20.8058,968.9999,34.9172
3.6,4.7199,0.0122,10.2231,-1.4231,959.9999,11.8785
3.7,4.895,0.0012,6.2184,5.4317,966,32.6042
3.8,4.9595,0,-4.1568,1.6367,980.9999,25.6707
3.9,4.9819,0.0036,8.2631,2.28,962.9998,30.165
4,4.9877,0.0024,2.0446,2.3849,971.9999,30.5326
4.1,4.9908,0.0012,-0.0169,2.0491,975,30.0925
4.2,4.9916,0,4.1569,1.9841,968.9999,30.22
4.3,4.9926,0.0061,-0.0845,2.9041,975,31.0389
4.4,4.993,0.0012,-0.0169,1.8787,975,29.8889
4.5,4.9911,0.0012,4.14,1.5956,968.9999,30.6796
4.6,4.9928,0.0024,6.2015,1.29,966,29.3503
4.7,4.9912,0.0024,-2.1122,2.069,977.9999,31.1267
4.8,4.9912,0,2.0785,1.5943,971.9999,30.7179
4.9,4.9928,0,4.1569,0.7115,968.9999,30.9222
5,4.9917,0.0024,-2.1122,1.0729,977.9999,29.9169
5.1,4.4482,0.0012,2.0615,0.6339,971.9999,31.1927
5.2,1.7194,0.0048,-0.0676,1.2017,975,29.7328
5.3,0.631,0.0036,2.0277,2.3109,971.9999,30.8703
