日時,測定開始からの時間,電源電流,電源電圧,電源電力,回転数,モータートルク,モータ相間電圧(Vm),モータ線電流(Im),インバータ出力電力(P-Out),インバータ効率,力率進角(φ),力率,電流進角(α)
,秒,A,V,W,RPM,Nm,V,A,W,%,deg,%,deg
2025/12/5 13:57,0,0.1,15,2,23,0.006,0.9,0.4,1,41,-12,98,-1.6
2025/12/5 13:57,0.1,0.1,15,2,23,0.005,0.9,0.5,1,52,7.3,99,-2.1
2025/12/5 13:57,0.2,0.1,15,2,8,0.007,1,0.5,1,51,27.6,89,-0.4
2025/12/5 13:57,0.3,0.1,15,2,24,0.005,0.8,0.6,0,16,73.5,28,1.7
2025/12/5 13:57,0.4,0.1,15,2,8,0.009,0.6,0.6,0,-21,121.1,-52,2.2
2025/12/5 13:57,0.5,0.1,15,2,29,0.008,0.5,0.5,0,-26,153.4,-89,0.7
2025/12/5 13:57,0.6,0.1,15,2,25,0.006,0.3,0.6,0,-2,-94.8,-8,-0.2
2025/12/5 13:57,0.7,0.1,15,2,28,0.006,0.5,0.5,0,29,-0.8,100,-0.5
2025/12/5 13:57,0.8,0.1,15,2,32,0.005,0.5,0.5,0,23,37.6,79,-0.5
2025/12/5 13:57,0.9,0.1,15,2,35,0.005,0.2,0.5,0,-7,128.1,-62,0.6
2025/12/5 13:57,1,0.1,15,2,39,0.005,0.1,0.5,0,-4,-129.5,-64,0.5
2025/12/5 13:57,1.1,0.1,15,2,40,0.005,0.4,0.5,0,23,-4.2,100,-0.3
2025/12/5 13:57,1.2,0.1,15,2,45,0.005,0.2,0.5,0,1,83.6,11,0.8
2025/12/5 13:57,1.3,0.1,15,2,50,0.005,0,0.5,0,0,-101.1,-19,0.4
2025/12/5 13:57,1.4,0.1,15,2,50,0.005,0.5,0.4,0,23,6.9,99,0
2025/12/5 13:57,1.5,0.1,15,2,54,0.004,0.3,0.5,0,12,47,68,0.3
2025/12/5 13:57,1.6,0.1,15,2,60,0.004,0.3,0.4,0,12,-31.5,85,-0.2
2025/12/5 13:57,1.7,0.1,15,2,62,0.003,0.3,0.4,0,10,42.6,74,0
2025/12/5 13:57,1.8,0.1,15,2,66,0.002,0.1,0.4,0,4,-28.4,88,0
2025/12/5 13:57,1.9,0.1,15,2,69,0.001,0.4,0.4,0,16,26.9,89,0.1
2025/12/5 13:57,2,0.1,15,2,70,0.001,0.1,0.4,0,4,14.2,97,0.1
2025/12/5 13:57,2.1,0.1,15,2,74,0.001,0.5,0.4,0,22,17.2,96,0
2025/12/5 13:57,2.2,0.1,15,2,78,0.001,0.4,0.4,0,17,-19.6,94,-0.6
2025/12/5 13:57,2.3,0.1,15,2,81,0.001,0.5,0.4,0,22,15.6,96,-0.4
2025/12/5 13:57,2.4,0.1,15,2,85,0.001,0.5,0.4,0,23,-12.4,98,-0.1
2025/12/5 13:57,2.5,0.1,15,2,87,0.001,0.4,0.4,0,17,20.7,94,0
2025/12/5 13:57,2.6,0.1,15,2,93,0,0.6,0.4,0,28,3.8,100,-0.1
2025/12/5 13:57,2.7,0.1,15,2,94,0,0.5,0.4,0,23,-11.2,98,-0.7
2025/12/5 13:57,2.8,0.1,15,2,99,0,0.5,0.4,0,22,18,95,-0.5
2025/12/5 13:57,2.9,0.1,15,2,101,0,0.6,0.4,0,27,9.5,99,-0.9
2025/12/5 13:57,3,0.1,15,2,105,0,0.3,0.4,0,14,-5.5,100,-0.5
2025/12/5 13:57,3.1,0.1,15,2,108,0,0.4,0.4,0,18,3.4,100,-0.2
2025/12/5 13:57,3.2,0.1,15,2,111,0,0.4,0.4,0,18,8.4,99,-0.2
2025/12/5 13:57,3.3,0.1,15,2,114,0,0.6,0.4,0,28,-5.1,100,-0.5
2025/12/5 13:57,3.4,0.1,15,2,117,0,0.6,0.4,0,28,-4.7,100,-0.4
2025/12/5 13:57,3.5,0.1,15,2,122,0,0.7,0.4,0,32,-2,100,-0.3
2025/12/5 13:57,3.6,0.1,15,2,125,0,0.5,0.4,0,23,2.3,100,0
2025/12/5 13:57,3.7,0.1,15,2,129,0,0.5,0.4,0,23,-3.3,100,0
2025/12/5 13:57,3.8,0.1,15,2,132,0,0.7,0.4,0,32,6.1,99,-0.2
2025/12/5 13:57,3.9,0.1,15,2,134,0,0.6,0.4,0,27,9.8,99,-0.1
2025/12/5 13:57,4,0.1,15,2,139,0,0.6,0.4,0,28,5.3,100,0.2
2025/12/5 13:57,4.1,0.1,15,2,142,0,0.7,0.4,0,32,3.1,100,0.1
2025/12/5 13:57,4.2,0.1,15,2,145,0,0.7,0.4,0,32,9,99,0
2025/12/5 13:57,4.3,0.1,15,2,147,0,0.8,0.4,1,37,-3.1,100,-0.1
2025/12/5 13:57,4.4,0.1,15,2,152,0,0.7,0.4,0,32,7.2,99,-0.1
2025/12/5 13:57,4.5,0.1,15,2,153,-0.001,0.6,0.4,0,28,2.5,100,-0.1
2025/12/5 13:57,4.6,0.1,15,2,157,-0.001,0.8,0.4,1,37,5.4,100,-0.3
2025/12/5 13:57,4.7,0.1,15,2,161,0,0.7,0.4,0,32,0.3,100,-0.1
2025/12/5 13:57,4.8,0.1,15,2,164,0,0.8,0.4,1,37,6.3,99,0
2025/12/5 13:57,4.9,0.1,15,2,168,-0.001,0.7,0.5,1,40,-3.6,100,-0.1
2025/12/5 13:57,5,0.1,15,2,171,0,0.9,0.5,1,52,2.4,100,-0.3
2025/12/5 13:57,5.1,0.1,15,2,175,-0.001,0.8,0.4,1,37,-4.5,100,-0.4
2025/12/5 13:57,5.2,0.1,15,2,176,-0.001,0.8,0.4,1,37,5.7,100,-0.4
2025/12/5 13:57,5.3,0.1,15,2,180,-0.001,0.9,0.5,1,52,1.5,100,-0.5
2025/12/5 13:57,5.4,0.1,15,2,184,0,0.8,0.5,1,46,-2.3,100,-0.3
2025/12/5 13:57,5.5,0.1,15,2,187,0,0.9,0.5,1,52,5,100,0.1
2025/12/5 13:57,5.6,0.1,15,2,192,0,1,0.5,1,58,0.5,100,0
2025/12/5 13:57,5.7,0.1,15,2,195,0,0.9,0.4,1,42,-1.7,100,0
2025/12/5 13:57,5.8,0.1,15,2,197,0,0.9,0.5,1,52,3,100,0
2025/12/5 13:57,5.9,0.1,15,2,201,0,1,0.5,1,58,3.8,100,0
2025/12/5 13:57,6,0.1,15,2,203,0,1,0.5,1,58,-1.9,100,0
2025/12/5 13:57,6.1,0.1,15,2,207,0,1,0.5,1,58,-2.5,100,-0.1
2025/12/5 13:57,6.2,0.1,15,2,210,-0.001,0.9,0.5,1,52,2.1,100,0
2025/12/5 13:57,6.3,0.1,15,2,214,0,1,0.5,1,58,4.4,100,0.1
2025/12/5 13:57,6.4,0.1,15,2,216,0,1.1,0.5,1,63,4.6,100,0.1
