日時,測定開始からの時間,電源電流,電源電圧,電源電力,回転数,モータートルク,モータ相間電圧(Vm),モータ線電流(Im),インバータ出力電力(P-Out),インバータ効率,力率進角(φ),力率,電流進角(α)
,秒,A,V,W,RPM,Nm,V,A,W,%,deg,%,deg
2025/12/5 13:49,0,0,10.2,0,0,-0.011,3,0,0,0,95.7,-10,36.5
2025/12/5 13:49,0.1,0,10.2,0,0,-0.011,3,0,0,0,94.1,-7,34.8
2025/12/5 13:49,0.2,0,10.2,0,0,-0.011,3,0,0,0,94.6,-8,35.3
2025/12/5 13:49,0.3,0,10.2,0,0,-0.011,3,0,0,0,94.7,-8,35.4
2025/12/5 13:49,0.4,0,10.2,0,0,-0.011,3,0,0,0,92.8,-5,33.5
2025/12/5 13:49,0.5,0,10.2,0,0,-0.011,3,0.1,0,0,89,2,29.7
2025/12/5 13:49,0.6,0,10.2,0,0,-0.01,3,0.1,0,0,84.1,10,24.8
2025/12/5 13:49,0.7,0,10.2,0,0,-0.01,3,0.1,0,0,82.1,14,22.8
2025/12/5 13:49,0.8,0,10.2,0,0,-0.009,3,0.1,0,0,77.4,22,18.2
2025/12/5 13:49,0.9,0,10.2,0,0,-0.009,3,0.2,0,0,75.7,25,16.4
2025/12/5 13:49,1,0,10.2,0,0,-0.007,3,0.2,0,0,72.3,30,12.9
2025/12/5 13:49,1.1,0,10.2,0,0,-0.006,3,0.3,1,0,70.6,33,11
2025/12/5 13:49,1.2,0,10.2,0,0,-0.005,3,0.3,1,0,69.8,35,10.1
2025/12/5 13:49,1.3,0,10.2,0,0,-0.003,3,0.3,1,0,67.9,38,8
2025/12/5 13:49,1.4,0,10.2,0,0,-0.002,3,0.4,1,0,67.6,38,7.5
2025/12/5 13:49,1.5,0.1,10.2,1,0,0,3,0.4,1,79,67.1,39,6.6
2025/12/5 13:49,1.6,0.1,10.2,1,0,0.002,3,0.5,1,102,66.5,40,5.7
2025/12/5 13:49,1.7,0.1,10.2,1,0,0.003,3,0.5,1,100,66.8,39,5.8
2025/12/5 13:49,1.8,0.1,10.2,1,0,0.006,3,0.6,1,119,67.1,39,5.6
2025/12/5 13:49,1.9,0.1,10.2,1,0,0.008,3,0.6,1,118,67.2,39,5.3
2025/12/5 13:49,2,0.1,10.2,1,0,0.011,3,0.6,1,115,67.8,38,5.1
2025/12/5 13:49,2.1,0.1,10.2,1,0,0.014,3,0.7,1,130,68.7,36,5
2025/12/5 13:49,2.2,0.2,10.2,2,1,0.016,3,0.8,1,71,69.5,35,5.2
2025/12/5 13:49,2.3,0.2,10.2,2,1,0.019,3,0.8,1,64,71.6,32,5.3
2025/12/5 13:49,2.4,0.2,10.2,2,2,0.021,3,0.8,1,59,73.2,29,5.5
2025/12/5 13:49,2.5,0.2,10.2,2,2,0.025,2.9,0.9,1,49,77.1,22,5.7
2025/12/5 13:49,2.6,0.2,10.2,2,6,0.029,2.8,1,1,29,83,12,4
2025/12/5 13:49,2.7,0.2,10.2,2,37,0.031,2.3,1,0,7,87.9,4,3.2
2025/12/5 13:49,2.8,0.3,10.2,3,70,0.034,1.8,1.1,1,28,75.3,25,1.9
2025/12/5 13:49,2.9,0.3,10.2,3,101,0.037,1.5,1.1,1,32,69.9,34,1.4
2025/12/5 13:49,3,0.3,10.2,3,135,0.038,1.2,1.1,1,34,63.2,45,1.1
2025/12/5 13:49,3.1,0.4,10.2,4,170,0.041,1.1,1.2,1,30,58.2,53,0.9
2025/12/5 13:49,3.2,0.4,10.2,4,204,0.043,1.1,1.2,1,35,51.4,62,0.7
2025/12/5 13:49,3.3,0.4,10.2,4,241,0.045,1,1.3,2,43,38,79,0.4
2025/12/5 13:49,3.4,0.5,10.2,5,279,0.049,1.2,1.3,2,48,25.1,91,0.1
2025/12/5 13:49,3.5,0.5,10.2,5,319,0.05,1.2,1.3,2,49,23,92,0
2025/12/5 13:49,3.6,0.6,10.2,6,360,0.054,1.4,1.4,3,54,14.5,97,0.1
2025/12/5 13:49,3.7,0.6,10.2,6,402,0.055,1.5,1.4,4,58,14.3,97,0.3
2025/12/5 13:49,3.8,0.7,10.2,7,445,0.058,1.7,1.5,4,61,10.9,98,0.4
2025/12/5 13:49,3.9,0.8,10.2,8,490,0.062,1.9,1.5,5,60,7.3,99,0.2
2025/12/5 13:49,4,0.8,10.2,8,535,0.063,2.1,1.6,6,71,7.1,99,0.2
2025/12/5 13:49,4.1,0.9,10.2,9,582,0.067,2.3,1.6,6,69,6.7,99,0.1
2025/12/5 13:49,4.2,1,10.2,10,631,0.068,2.4,1.7,7,69,5.6,100,0
2025/12/5 13:49,4.3,1.1,10.2,11,678,0.072,2.7,1.7,8,71,5.5,100,0.6
2025/12/5 13:49,4.4,1.2,10.2,12,730,0.075,3,1.8,9,76,5.8,99,0.5
2025/12/5 13:49,4.5,1.2,10.2,12,780,0.076,3.1,1.8,10,78,6.4,99,0.5
2025/12/5 13:49,4.6,1.3,10.1,13,832,0.079,3.4,1.9,11,85,6.4,99,0.4
2025/12/5 13:49,4.7,1.4,10.1,14,885,0.081,3.5,1.9,11,81,6.8,99,0.2
2025/12/5 13:49,4.8,1.5,10.1,15,937,0.084,3.9,1.9,13,84,7.2,99,0.2
2025/12/5 13:49,4.9,1.5,10.1,15,984,0.083,4.1,1.8,13,84,7.7,99,0.3
2025/12/5 13:49,5,1.5,10.1,15,1019,0.082,4.2,1.8,13,86,7.9,99,0.3
2025/12/5 13:49,5.1,1.5,10.2,15,1042,0.077,4.4,1.6,12,79,8.8,99,0.4
