周波数 f [Hz],角周波数 ω [rad/s],入力電圧 Vi [V] (p-p 値),出力電圧 Vo [V] (p-p 値),電圧比 Vo/ Vi,ゲイン G[dB] 20log(Vo/ Vi),遅れ時間 t [sec],位相 θ [°],,,,周波数 f [Hz],ゲイン G[dB] 20log(Vo/ Vi),位相 θ [°]
変化させる 100～7k,計算する,1.5V 程度に合わせる,測定する,計算する,計算する,測定する,計算する,,,,変化させる 100～7k,計算する,計算する
103.7,651.5663164,1.5,1.52,1.013333333,0.115046578,0.00001,-0.37332,,,,103.7,0.115046578,-0.37332
151.7,953.1592111,1.62,1.66,1.024691358,0.21186147,0.00006,-3.27672,,,,151.7,0.21186147,-3.27672
201.7,1267.318476,1.5,1.6,1.066666667,0.560574472,0.0001,-7.2612,,,,201.7,0.560574472,-7.2612
303.4,1906.318422,1.5,1.72,1.146666667,1.188743757,0.000104,-11.359296,,,,303.4,1.188743757,-11.359296
499.7,3139.707698,1.54,2.26,1.467532468,3.331754366,0.000144,-25.904448,,,,499.7,3.331754366,-25.904448
707.3,4444.096968,1.5,2.96,1.973333333,5.90400904,0.000268,-68.240304,0.262593712,4786.383066,,707.3,5.90400904,-68.240304
1013,6364.866716,1.5,1.52,1.013333333,0.115046578,0.000364,-132.74352,,,,1013,0.115046578,-132.74352
1559,9795.485894,1.6,0.512,0.32,-9.897000434,0.000276,-154.90224,,,,1559,-9.897000434,-154.90224
2040,12817.69803,1.5,0.26,0.173333333,-15.22235822,0.000212,-155.6928,,,,2040,-15.22235822,-155.6928
3050,19163.71519,1.5,0.122,0.081333333,-21.79462857,0.000138,-151.524,,,,3050,-21.79462857,-151.524
5001,31422.20972,1.5,0.078,0.052,-25.67993313,0.00007,-126.0252,,,,5001,-25.67993313,-126.0252
6936,43580.17329,1.5,0.042,0.028,-31.05683937,0.000046,-114.86016,,,,6936,-31.05683937,-114.86016
650,4084.07045,1.5,2.78,1.853333333,5.359070737,,,,,,650,5.359070737,
746,4687.256239,1.5,2.72,1.813333333,5.1695529,,,,,,746,5.1695529,
677,4253.716453,1.5,2.8,1.866666667,5.421335446,,,,,,677,5.421335446,
720,4523.893421,1.5,2.76,1.84,5.29635646,,,,,,720,5.29635646,
400,2513.274123,1.58,2,1.265822785,2.047458174,,,,,,400,2.047458174,
900,5654.866776,1.58,1.9,1.202531646,1.60193028,,,,,,900,1.60193028,
1120,7037.167544,1.5,1,0.666666667,-3.521825181,,,,,,1120,-3.521825181,
1200,7539.822369,1.56,0.9,0.576923077,-4.777641778,,,,,,1200,-4.777641778,
600,3769.911184,1.54,2.5,1.623376623,4.208385757,,,,,,600,4.208385757,
800,5026.548246,1.5,2.26,1.506666667,3.560343602,,,,,,800,3.560343602,
