周波数 f [Hz],角周波数 ω [rad/s],入力電圧 Vi [V] (p-p 値),出力電圧 Vo [V] (p-p 値),電圧比 Vo/ Vi,ゲイン G[dB] 20log(Vo/ Vi),遅れ時間 t [sec],位相 θ [°],,,,周波数 f [Hz],ゲイン G[dB] 20log(Vo/ Vi)
変化させる 100～7k,計算する,1.5V 程度に合わせる,測定する,計算する,計算する,測定する,計算する,,,,変化させる 100～7k,計算する
例 99.6,625.81,1.304,1.304,1,0,0.11 m,-3.94,,,,例 99.6,0
103.7,651.5663164,1.5,1.52,1.013333333,0.115046578,0.000010000,-0.37332,,,,103.7,40.31557513
151.7,953.1592111,1.62,1.66,1.024691358,0.21186147,0.000060000,-3.27672,,,,151.7,43.61971162
201.7,1267.318476,1.5,1.6,1.066666667,0.560574472,0.000100000,-7.2612,,,,201.7,46.09411796
303.4,1906.318422,1.5,1.72,1.146666667,1.188743757,0.000104000,-11.359296,,,,303.4,49.64031153
499.7,3139.707698,1.54,2.26,1.467532468,3.331754366,0.000144000,-25.904448,,,,499.7,53.97418699
707.3,4444.096968,1.5,2.96,1.973333333,5.90400904,0.000268000,-68.240304,0.262593712393,4786.38306625123,,707.3,56.99207316
1013,6364.866716,1.5,1.52,1.013333333,0.115046578,0.000364000,-132.74352,,,,1013,60.11218891
1559,9795.485894,1.6,0.512,0.32,-9.897000434,0.000276000,-154.90224,,,,1559,63.8569223
2040,12817.69803,1.5,0.26,0.173333333,-15.22235822,0.000212000,-155.6928,,,,2040,66.19260335
3050,19163.71519,1.5,0.122,0.081333333,-21.79462857,0.000138000,-151.524,,,,3050,69.68599679
5001,31422.20972,1.5,0.078,0.052,-25.67993313,0.000070000,-126.0252,,,,5001,73.98113709
6936,43580.17329,1.5,0.042,0.028,-31.05683937,0.000046000,-114.86016,,,,6936,76.82218169
650,4084.07045,1.5,2.78,1.853333333,5.359070737,,,,,,650,56.25826713
746,4687.256239,1.5,2.72,1.813333333,5.1695529,,,,,,746,57.45477655
677,4253.716453,1.5,2.8,1.866666667,5.421335446,,,,,,677,56.61177337
720,4523.893421,1.5,2.76,1.84,5.29635646,,,,,,720,57.14664993
400,2513.274123,1.58,2,1.265822785,2.047458174,,,,,,400,52.04119983
900,5654.866776,1.58,1.9,1.202531646,1.60193028,,,,,,900,59.08485019
1120,7037.167544,1.5,1,0.666666667,-3.521825181,,,,,,1120,60.98436045
1200,7539.822369,1.56,0.9,0.576923077,-4.777641778,,,,,,1200,61.58362492
600,3769.911184,1.54,2.5,1.623376623,4.208385757,,,,,,600,55.56302501
800,5026.548246,1.5,2.26,1.506666667,3.560343602,,,,,,800,58.06179974
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
