,,平衡測定,X,,,X,短絡,解放,整合,半端もの,,,,,,,
,,64.4,１００ｍｍ,,,0,-,3.78,-,-,,,,,,,
,,64.2,０ｍｍ,,,5,13.5,6.51,9.46,9.12,㏈/V,,,,,,
,,,,,,10,12.68,8.71,9.31,8.6,,,,,,,
,1㎜のばした,65.3,,,,15,11.53,10.33,10.65,8.37,,,,,,,
,,,,,,20,10.1,11.81,9.54,7.38,,,,,,,
,,F＝１GHｚ,,,,22.5,-,-,-,7.67,,,,,,,
,,V,140000000,,,25,7.7,12.5,9.83,6.46,,,,,,,
C=3*10^8m/s,,,1.4*10^8m/s,,波長は140mm？？,27.5,-,-,-,7.06,,,,,,,
,,,,,,30,3.84,12.45,10.52,6.89,,,,,,,
,,,,,,32.5,2.78,-,-,-,,,,,表紙オレンジ,,
,,,,,,35,1.23,13.03,11.24,7.78,,,,,,,
,,,,,,36,1.52,-,-,-,,,,,,,
,,,,,,37.5,1.55,-,-,-,,,,,,ｓｗｒ,
,,,,,,40,4.26,13.18,10.1,7.19,,,,,,定在波比,反射係数Γ
,,,,,,42.5,-,14.59,-,-,,,,,,,
,,,,,,45,7.35,13.74,11.26,8.29,,,,,抵抗,,
,,,,,,50,8.55,13.15,11.04,8.52,,,,最大ー最小,振幅,,
,,,,,,55,11.81,11.81,11.26,9.35,,,,,,,
,,,,,,60,11.91,11.04,11.36,9.86,,,,,,,
,,,,,,65,12.27,9.17,-,10.62,,,,,,,
,,,,,,70,13.28,7.7,-,11.76,,,,,,,
,,,,,,72.5,-,6.59,-,10.36,,,,,,,
,,,,,,75,12.25,3.17,-,11.98,,,,,,,
,,,,,,77.5,-,1.52,-,10.8,,,,,,,
,,,,,,80,12.55,2.49,-,11.61,,,,,,,
,,,,,,81,-,-,-,10.01,,,,,,,
,,,,,,82,-,-,-,10.8,,,,,,,
,,,,,,82.5,13.69,3.54,-,11.31,,,,,,,
,,,,,,83,-,-,-,10.88,,,,,,,
,,,,,,84,-,-,-,10.44,,,,,,,
,,,,,,85,13.28,6.76,-,11.14,,,,,,,
,,,,,,86,13.05,-,-,9.51,,,,,,,
,,,,,,87,-,-,-,10.04,,,,,,,
,,,,,,87.5,12.7,-,-,-,,,,,,,
,,,,,,88,-,-,-,9.77,,,,,,,
,,,,,,89,-,-,-,9.64,,,,,,,
,,,,,,90,12.42,9.12,-,11.59,,,,,,,
,,,,,,95,11.19,-,-,10.03,,,,,,,
,,,,,,100,10.04,-,-,9.01,,,,,,,
,,,,,,102,-,-,-,7.51,,,,,,,
,,,,,,,,,,,,,,,,,
