x,short,open,matched,half
0.0,,3.78,,
5.0,13.5,6.51,9.46,9.12
10.0,12.68,8.71,9.31,8.6
15.0,11.53,10.33,10.65,8.37
20.0,10.1,11.81,9.54,7.38
22.5,,,,7.67
25.0,7.7,12.5,9.83,6.46
27.5,,,,7.06
30.0,3.84,12.45,10.52,6.89
32.5,2.78,,,
35.0,1.23,13.03,11.24,7.78
36.0,1.52,,,
37.5,1.55,,,
40.0,4.26,13.18,10.1,7.19
42.5,,14.59,,
45.0,7.35,13.74,11.26,8.29
50.0,8.55,13.15,11.04,8.52
55.0,11.81,11.81,11.26,9.35
60.0,11.91,11.04,11.36,9.86
65.0,12.27,9.17,,10.62
70.0,13.28,7.7,,11.76
72.5,,6.59,,10.36
75.0,12.25,3.17,,11.98
77.5,,1.52,,10.8
80.0,12.55,2.49,,11.61
81.0,,,,10.01
82.0,,,,10.8
82.5,13.69,3.54,,11.31
83.0,,,,10.88
84.0,,,,10.44
85.0,13.28,6.76,,11.14
86.0,13.05,,,9.51
87.0,,,,10.04
87.5,12.7,,,
88.0,,,,9.77
89.0,,,,9.64
90.0,12.42,9.12,,11.59
95.0,11.19,,,10.03
100.0,10.04,,,9.01
102.0,,,,7.51
