貂ｬ螳壽怦譌･,6譛・0譌･ (譛・,6譛・1譌･ (轣ｫ),6譛・2譌･ (豌ｴ),6譛・3譌･ (譛ｨ),6譛・4譌･ (驥・,6譛・7譌･ (譛・,6譛・8譌･ (轣ｫ),6譛・9譌･ (豌ｴ),6譛・0譌･ (譛ｨ),7譛・譌･ (驥・
鬆・岼,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字,驥代ａ縺｣縺榊字
隕乗ｼ,0.20ﾎｼm莉･荳・0.20ﾎｼm莉･荳・0.20ﾎｼm莉･荳・0.20ﾎｼm莉･荳・0.20ﾎｼm莉･荳・0.15ﾎｼm莉･荳・0.15ﾎｼm莉･荳・0.15ﾎｼm莉･荳・0.15ﾎｼm莉･荳・0.15ﾎｼm莉･荳・,,,,,,,,,
貂ｬ螳夊・驤ｴ譛ｨ,驤ｴ譛ｨ,驤ｴ譛ｨ,驤ｴ譛ｨ,驤ｴ譛ｨ,驤ｴ譛ｨ,驤ｴ譛ｨ,驤ｴ譛ｨ,荳顔伐,荳顔伐,
繝・・繧ｿ,0.08,0.05,0.06,0.02,0.05,0.08,0.12,0.02,0.02,0.01
,0.05,0.07,0.1,0.14,0.01,0.01,0.07,0.04,0.03,0.05
,0.12,0.11,0.09,0.01,0,0.04,0.07,0.02,0.04,0.01
,0.07,0.06,0.05,0.02,0.07,0.02,0.03,0.05,0,0.02
,0.15,0.08,0.02,0.04,0.01,0,0.05,0.01,0.6,0
,0.03,0.03,0.02,0,0.1,0.06,0.01,0.03,0.03,0.03
,0.11,0.07,0.06,0.01,0.02,0,0.06,0.07,0.01,0.01
,0.02,0.14,0.05,0.02,0.01,0.01,0.03,0.1,0.02,0.02
,0.09,0.04,0.02,0.03,0.09,0.03,0.01,0.01,0.05,0
,0.05,0.07,0.07,0.05,0.01,0.05,0.01,0.03,0,0.02
